City,State,avg_monthly_rent,pct_chg_val,med_home_val,best_time_sell,affordability,days_to_sell,job_market,public_school_ranking,top_ibs,ntop_ibs,nlocal_ibs
Madison,WI,1262,2.30,256900,August,166.7,64.42,Fair,11,,0,2
Los Gatos,CA,3074,-6.10,1824128,April,146,59.00,Fair,38,,0,2
Jackson,MS,796,-3.0,42402,June,High,21,Weak,41,,0,3
Lake Forest,CA,2119,0.90,724300,October,133,56.625,Fair,38,,0,2
Long Beach,CA,2113,2.50,606200,June,63.4,55.83,Weak,38,,0,3
Longmont,CO,1480,1.20,409384,August,98,54.71,Fair,38,,0,3
McKinney,TX,1291,0.0,330593,May,Fair,52,Strong,52,,0,3
McAllen,TX,782,5.4,145568,April,High,112,Fair,33,,0,3
Marietta,GA,1235,4.0,308513,June,High,53,Fair,47,Offerpad,1,3
Melbourne,FL,1135,3.80,192500,June,146.7,71.33,Fair,26,Offerpad,1,2
Miramar,FL,1882,3.0,335401,August,Fair,94,Fair,53,,0,3
Morgan Hill,CA,2468,-2.20,931352,July,131,49.83,Fair,38,,0,1
Mesa,AZ,1094,7.60,272546,August,High,52.42,Strong,49,,0,3
Midland,TX,1533,4.80,267785,October,68,63.917,Strong,33,,0,3
Newton,NC,782,9.00,150540,February,17,66,Fair,31,,0,3
Mesquite,TX,986,3.1,190437,May,Fair,26,Strong,52,,0,3
Montgomery,AL,897,1.8,91810,August,High,64,Weak,41,,0,3
Nashville,TN,1342,3.10,263000,May,151.6,62.083,Strong,34,"Zillow Offers, Opendoor",2,1
Naples,FL,1515,0.30,322500,February,90.5,122.29,Fair,26,,0,2
Ocala,FL,1067,9.60,148500,September,168.2,87.25,Fair,26,Offerpad,1,2
Mobile,AL,813,5.7,128357,January,High,43,Weak,44,,0,3
New Orleans,LA,1191,2.60,234985,June,Low,98.96,Weak,50,,0,2
Minneapolis,MN,1475,3.50,267100,April,184.1,65.625,Fair,6,"Zillow Offers, Opendoor",2,3
Memphis,TN,813,4.1,85800,June,184.1,69,Weak,34,"Zillow Offers, Opendoor",2,2
Moreno Valley,CA,1544,4.20,351769,August,Moderate,63.42,Fair,38,,0,3
Milwaukee,WI,1199,7.80,130714,June,Low,79.8,Weak,11,,0,3
Milpitas,CA,2815,-5.70,1046460,August,127,43.54,Fair,38,,0,3
Newark,NJ,1217,7.60,285028,December,Low,166.75,Weak,2,,0,3
Ontario,CA,1795,4.0,454353,August,Fair,57,Fair,40,,0,3
Northglenn,CO,1440,0.70,347959,June,104,56.92,Fair,17,,0,3
Oakland,CA,2674,-0.70,734700,May,64.1,43.75,Strong,38,Offerpad,1,1
Newport Beach,CA,2794,0.80,2019744,September,38,101.38,Weak,38,,0,2
Odessa,TX,1375,10.30,178400,October,164.1,69.71,Fair,33,Offerpad,1,1
Omaha,NE,928,5.80,193062,May,High,58.34,Fair,8,,0,3
Monterey,CA,2234,-0.80,802837,February,Low,70,Fair,38,,0,3
Ormond Beach,FL,1234,4.60,258274,December,123,92.42,Fair,26,,0,3
Palmdale,CA,1338,6.2,340320,June,High,25,Weak,46,,0,3
Oklahoma,OK,758,4.00,131000,July,227.2,71.33,Strong,40,"Zillow Offers, Opendoor",2,2
Palo Alto,CA,3285,-5.50,2775164,April,146,38.46,Fair,38,,0,1
Pasadena,TX,887,5.6,163049,July,Low,14,Fair,52,Offerpad,1,3
