county,state,year,ntop_ibs,nlocal_ibs,treatment,high_school_graduate_includes_equivalency,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_years,sex_ratio_males_per_100_females,mean_travel_time_to_work_minutes,unemployment_rate,per_capita_income_dollars,mean_household_income_dollars,median_household_income_dollars,mean_cash_public_assistance_income_dollars,mean_earnings_dollars,mean_retirement_income_dollars,mean_social_security_income_dollars,mean_supplemental_security_income_dollars,homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size,state_full_x,accommodation_and_food_services,administrative_and_support_and_waste_management_and_remediation_services,arts_entertainment_and_recreation,durable_goods_manufacturing,educational_services,finance_and_insurance,health_care_and_social_assistance,management_of_companies_and_enterprises,nondurable_goods_manufacturing,professional_scientific_and_technical_services,real_estate_and_rental_and_leasing,agriculture_forestry_fishing_and_hunting,arts_entertainment_recreation_accommodation_and_food_services,construction,educational_services_health_care_and_social_assistance,finance_insurance_real_estate_rental_and_leasing,information,manufacturing,mining_quarrying_and_oil_and_gas_extraction,other_services_except_government_and_government_enterprises,professional_and_business_services,retail_trade,transportation_and_warehousing,utilities,wholesale_trade,private_industries,all_industry_total,government_and_government_enterprises,manufacturing_and_information,natural_resources_and_mining,private_goods_producing_industries_2/,private_services_providing_industries_3/,trade,transportation_and_utilities,popestimate,rnaturalinc,rnetmig,state_full_y,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count,pending_ratio,math_prof_pct,english_prof_pct,area_fips,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,move_post2010,educ_nohs,educ_further
cascade,mt,2019,0.0,0.0,0.0,33.7,24.6,42.7,12.4,22.8,27.6,1.4,98.6,32852.0,33066.0,6.9,1.7,2.4,0.5,1.4,91.6,38.3,,16.5,,27116.0,64362.0,51227.0,2639.0,62120.0,24555.0,19702.0,7868.0,1.0,2.42,2.38,5.5,17.5,7.9,18.6,13.6,12817.0,8827.0,39203.0,6.3,4.4,64.8,3.1,9.9,4.1,1.6,0.0,5.9,2.42,,96087.0,96145.0,32196.0,28108.0,26560.0,244556.0,463793.0,23028.0,301969.0,127388.0,496942.0,106710.0,128317.0,156204.0,490369.0,742102.0,113525.0,330875.0,430.0,67791.0,246638.0,242152.0,100997.0,66849.0,172785.0,2931586.0,3635635.0,705551.0,443147.0,105794.0,562289.0,2375730.0,414645.0,167626.0,81366.0,3.2995204043,-7.224600439,,218750.0,308.0,99.5,556.0,0.0,36.0,2024.0,293861.0,425.0,0.3799,44.35664682539683,48.50892857142858,30013.0,2774.0,35545.0,1519753747.0,737334854.0,8274481.0,822.0,42756.0,42.400000000000006,7.199999999999999,34.400000000000006
cass,mo,2016,0.0,0.0,0.0,27.2,8.6,74.0,32.0,7.0,26.0,3038.0,95.9,18.8,26.5,4.1,3.3,101324.0,0.3,0.0,1.0,39.4,6.1,27.0,,29639.0,77446.0,63420.0,3573.0,76490.0,20664.0,19184.0,10994.0,1.7,2.69,2.42,6.2,4.7,7.4,12.7,28.5,18712.0,9671.0,40998.0,0.5,4.1,76.7,5.7,1.1,4.7,2.4,0.0,4.8,2.69,,68507.0,104103.0,9547.0,103915.0,8519.0,80766.0,137249.0,4808.0,48276.0,64799.0,351328.0,0.0,78091.0,154986.0,145689.0,431075.0,16967.0,151948.0,17367.0,90236.0,175362.0,210448.0,147288.0,0.0,0.0,1860007.0,2176307.0,316973.0,169931.0,0.0,0.0,0.0,0.0,0.0,102622.0,2.4808664402000002,10.119581685,,245050.0,410.0,64.0,148.0,12.0,112.0,1280.0,307405.0,529.0,0.2902,51.97934523809524,58.98917748917749,29037.0,2082.0,25608.0,858884482.0,283420380.0,5029187.0,645.0,33540.0,46.7,38.0,117.6
cass,mo,2019,0.0,0.0,0.0,37.8,22.9,55.7,23.4,16.6,22.1,0.4,99.6,44975.0,40032.0,1.5,1.3,5.1,0.2,0.9,93.7,39.8,,29.9,,34728.0,89307.0,72819.0,,89149.0,24351.0,20552.0,11450.0,2.5,2.63,2.45,6.2,8.4,12.9,21.8,14.5,20809.0,10044.0,42891.0,0.4,6.4,80.1,2.9,0.9,4.0,0.2,0.0,5.2,2.63,,75844.0,122121.0,10856.0,103845.0,9497.0,80519.0,165789.0,3711.0,71710.0,83903.0,340563.0,0.0,86720.0,152248.0,175157.0,420432.0,16069.0,175662.0,20566.0,97280.0,211796.0,239945.0,132425.0,0.0,0.0,2033840.0,2351339.0,318861.0,193428.0,0.0,0.0,0.0,0.0,0.0,105780.0,1.2823618255,8.359099307000001,,269500.0,351.0,90.0,104.0,8.0,56.0,1881.5,357816.0,406.0,0.1567,42.375,51.830357142857146,29037.0,2255.0,27028.0,1007657497.0,299454534.0,3566271.0,717.0,37282.0,42.3,6.4,32.8
cass,nd,2016,0.0,0.0,0.0,20.6,14.0,53.8,26.5,3.0,46.2,9515.0,94.1,33.3,42.1,2.4,1.5,166852.0,0.2,0.0,0.7,32.0,7.2,15.3,,33156.0,76699.0,59240.0,3162.0,74642.0,19940.0,18569.0,8975.0,1.7,2.57,1.87,5.4,2.5,3.8,9.6,18.7,27182.0,11843.0,80252.0,8.0,9.5,42.5,2.4,26.5,3.1,6.4,0.0,1.7,2.57,,285652.0,267787.0,49773.0,543245.0,31651.0,910961.0,1258723.0,270335.0,340404.0,591665.0,1285230.0,84411.0,335341.0,744072.0,1290112.0,2200269.0,715326.0,883550.0,1498.0,204641.0,1127894.0,950505.0,322098.0,18572.0,1312573.0,10190025.0,11144919.0,953831.0,1585406.0,87613.0,1723887.0,8475687.0,2262435.0,340551.0,174189.0,9.1037977913,10.953550336,,279950.0,709.0,49.0,260.0,12.0,184.0,2537.0,334269.0,710.0,0.0014,50.10625,57.34375,38017.0,7053.0,116890.0,5604740240.0,2642160822.0,26258717.0,922.0,47949.0,65.4,22.3,135.7
cass,nd,2019,0.0,0.0,0.0,22.1,20.7,44.5,21.1,22.3,26.4,7.5,92.5,73323.0,74100.0,2.2,4.0,6.3,0.1,0.8,89.8,32.5,,18.6,,37391.0,84236.0,62218.0,2359.0,81469.0,20874.0,20973.0,11357.0,2.1,2.71,1.85,5.0,5.5,6.9,15.7,19.3,22903.0,13626.0,85452.0,7.8,9.0,38.7,2.2,32.8,4.4,2.7,0.5,2.0,2.71,,346664.0,259785.0,71825.0,582055.0,33904.0,984380.0,1579114.0,209662.0,366258.0,653593.0,1188468.0,174247.0,417840.0,600263.0,1612288.0,2184739.0,852329.0,948266.0,2044.0,198807.0,1126408.0,1016784.0,367252.0,18362.0,1235688.0,10688327.0,11705258.0,1015089.0,1777788.0,179586.0,1688080.0,9017506.0,2248569.0,385583.0,181923.0,7.702565037,1.3362155835,,258500.0,699.0,87.0,220.0,4.0,116.0,2206.0,317284.0,702.0,0.0043,49.72864583333333,53.216145833333336,38017.0,7387.0,120149.0,6296991328.0,2722269373.0,20494673.0,1008.0,52410.0,52.599999999999994,4.7,52.5
catawba,nc,2016,0.0,0.0,1.0,22.4,11.8,69.9,24.2,4.9,30.1,9877.0,92.5,24.5,28.9,9.0,6.1,155461.0,0.9,0.2,5.8,41.1,5.8,23.9,,26182.0,65599.0,48913.0,2516.0,65390.0,18349.0,19060.0,10874.0,1.7,2.46,2.58,5.3,9.4,7.2,14.2,27.2,26770.0,14999.0,68334.0,2.7,3.2,67.7,3.0,3.5,2.8,4.9,0.0,12.2,2.46,,200265.0,242684.0,33048.0,1624600.0,48406.0,218753.0,548584.0,248084.0,740408.0,256600.0,767964.0,0.0,233489.0,158347.0,596993.0,987041.0,99558.0,2365107.0,5011.0,145102.0,746595.0,596910.0,0.0,464846.0,612016.0,7325240.0,7987144.0,663084.0,2465087.0,0.0,0.0,0.0,1208688.0,0.0,156448.0,0.480807757,5.46838689,,214950.0,1127.0,80.0,280.0,8.0,236.0,2100.0,288057.0,1218.0,0.0807,46.5,43.416666666666664,37035.0,4367.0,85479.0,3450263655.0,1508277972.0,27573726.0,776.0,40364.0,41.9,40.4,106.5
catawba,nc,2019,0.0,3.0,1.0,28.8,21.6,48.1,14.2,18.5,27.5,6.9,93.1,67759.0,63850.0,0.8,4.6,9.7,0.1,6.1,81.0,41.4,,23.1,,29126.0,72498.0,52436.0,2347.0,74805.0,17062.0,20250.0,8934.0,1.2,2.47,2.63,5.7,15.1,12.9,23.1,14.2,27398.0,17653.0,69863.0,4.3,2.9,67.1,1.5,2.9,2.5,3.3,0.1,15.4,2.47,,199977.0,252722.0,46867.0,1654415.0,53052.0,236342.0,580973.0,283974.0,749693.0,308846.0,881710.0,0.0,246503.0,199960.0,634243.0,1116172.0,91853.0,2403684.0,5326.0,148406.0,842569.0,683202.0,301571.0,0.0,0.0,7704797.0,8402966.0,699413.0,2497259.0,0.0,0.0,0.0,0.0,0.0,159551.0,-0.263953393,5.7315593989,,265050.0,489.0,113.5,144.0,12.0,136.0,1926.0,354633.0,664.0,0.3579,41.458333333333336,45.708333333333336,37035.0,4498.0,88574.0,3917505305.0,1715100085.0,10370767.0,851.0,44229.0,34.7,13.5,36.1
catoosa,ga,2016,0.0,0.0,0.0,22.7,9.0,75.0,29.9,2.6,25.0,1163.0,97.4,12.4,26.0,2.7,1.3,65645.0,0.4,0.1,0.8,39.3,5.5,23.6,,27484.0,72197.0,55717.0,3134.0,71173.0,23263.0,20325.0,11302.0,0.4,2.75,2.41,5.8,6.0,7.8,14.2,28.6,,,27065.0,2.7,3.1,71.7,2.9,0.4,2.6,3.4,0.0,13.1,2.75,,54611.0,0.0,7478.0,56531.0,1289.0,70512.0,83732.0,0.0,56807.0,22313.0,270824.0,13265.0,62171.0,60460.0,85048.0,339939.0,16294.0,113111.0,18.0,49286.0,0.0,170445.0,59622.0,2922.0,0.0,1085860.0,1249727.0,164067.0,128406.0,13275.0,188733.0,897167.0,0.0,62579.0,66265.0,0.7421824709,6.6644956567,,196049.0,257.0,57.0,84.0,8.0,68.0,2134.0,270146.0,258.0,0.0039,47.25,42.375,13047.0,1003.0,14092.0,464101008.0,120967997.0,2479832.0,633.0,32933.0,43.4,43.0,111.3
catoosa,ga,2019,0.0,0.0,0.0,32.4,24.0,54.8,23.6,11.5,29.8,1.6,98.4,29025.0,25823.0,0.9,1.7,3.8,0.1,1.4,94.5,40.4,,25.3,,26976.0,71692.0,61487.0,3239.0,72991.0,22226.0,21687.0,10353.0,1.6,2.71,2.97,5.6,13.1,11.4,23.6,13.6,12195.0,5687.0,27732.0,1.7,2.2,75.6,2.7,0.2,4.1,2.6,0.0,10.8,2.71,,58317.0,22515.0,7123.0,52958.0,1254.0,73170.0,97720.0,0.0,73829.0,0.0,356718.0,9857.0,65564.0,60998.0,98987.0,424481.0,31689.0,126319.0,2200.0,57588.0,0.0,199872.0,54824.0,3121.0,0.0,1248913.0,1420539.0,172204.0,154855.0,12827.0,202474.0,1046241.0,0.0,57977.0,67580.0,-0.029638411,3.0527563723,,234000.0,157.0,72.5,80.0,0.0,48.0,2170.0,274627.0,159.0,0.0127,51.0,48.625,13047.0,985.0,15552.0,551548742.0,139370055.0,2007775.0,682.0,35465.0,38.3,9.7,33.9
cattaraugus,ny,2016,0.0,0.0,0.0,16.8,13.0,62.1,25.5,6.9,37.9,2256.0,96.6,26.5,35.9,1.9,0.3,78506.0,1.0,0.1,0.8,41.5,5.9,20.3,,23841.0,57722.0,46842.0,2524.0,59830.0,20601.0,18673.0,8080.0,3.7,2.52,2.04,5.8,13.0,8.6,16.0,23.2,11859.0,10951.0,40931.0,0.3,3.4,66.3,6.4,2.0,3.6,2.7,0.0,15.1,2.52,,90127.0,64694.0,11077.0,283834.0,0.0,112194.0,0.0,77528.0,119860.0,56735.0,393609.0,65670.0,101200.0,69668.0,240833.0,505408.0,26999.0,402719.0,48122.0,63386.0,199095.0,232797.0,30576.0,21149.0,96020.0,2098731.0,2745367.0,647189.0,429287.0,114213.0,579926.0,1517923.0,328807.0,52086.0,77658.0,0.4499177293,-3.8950020569999997,,119550.0,724.0,120.0,116.0,4.0,116.0,1634.0,176176.0,741.0,0.0235,47.00892857142858,37.01240079365079,36009.0,1809.0,29557.0,1136945088.0,208739402.0,7754733.0,740.0,38466.0,39.2,47.8,106.89999999999999
