".Conway County, Arkansas","9,812","9,885"
".Craighead County, Arkansas","44,461","46,934"
".Crawford County, Arkansas","26,698","27,078"
".Crittenden County, Arkansas","21,744","21,818"
".Cross County, Arkansas","7,952","7,971"
".Dallas County, Arkansas","4,332","4,348"
".Desha County, Arkansas","6,319","6,309"
".Drew County, Arkansas","8,621","8,682"
".Faulkner County, Arkansas","49,455","50,609"
".Franklin County, Arkansas","8,013","8,040"
".Fulton County, Arkansas","6,826","6,859"
".Garland County, Arkansas","50,816","51,015"
".Grant County, Arkansas","7,965","8,079"
".Greene County, Arkansas","18,839","19,328"
".Hempstead County, Arkansas","10,531","10,547"
".Hot Spring County, Arkansas","14,470","14,544"
".Howard County, Arkansas","6,251","6,260"
".Independence County, Arkansas","16,460","16,644"
".Izard County, Arkansas","7,274","7,303"
".Jackson County, Arkansas","7,597","7,602"
".Jefferson County, Arkansas","33,353","33,394"
".Johnson County, Arkansas","11,453","11,569"
".Lafayette County, Arkansas","4,389","4,413"
".Lawrence County, Arkansas","7,995","8,028"
".Lee County, Arkansas","4,369","4,362"
".Lincoln County, Arkansas","4,936","4,969"
".Little River County, Arkansas","6,503","6,545"
".Logan County, Arkansas","10,171","10,183"
".Lonoke County, Arkansas","29,046","30,115"
".Madison County, Arkansas","7,561","7,619"
".Marion County, Arkansas","9,434","9,604"
".Miller County, Arkansas","19,541","19,606"
".Mississippi County, Arkansas","20,540","20,563"
".Monroe County, Arkansas","4,437","4,434"
".Montgomery County, Arkansas","5,833","5,877"
".Nevada County, Arkansas","4,597","4,611"
".Newton County, Arkansas","4,689","4,705"
".Ouachita County, Arkansas","13,093","13,082"
".Perry County, Arkansas","4,964","4,990"
".Phillips County, Arkansas","10,184","10,263"
".Pike County, Arkansas","5,622","5,648"
".Poinsett County, Arkansas","10,964","11,031"
".Polk County, Arkansas","10,118","10,150"
".Pope County, Arkansas","26,154","26,479"
".Prairie County, Arkansas","4,548","4,567"
".Pulaski County, Arkansas","183,089","186,437"
".Randolph County, Arkansas","8,589","8,641"
".St. Francis County, Arkansas","10,978","10,979"
".Saline County, Arkansas","48,332","49,584"
".Scott County, Arkansas","5,265","5,288"
".Searcy County, Arkansas","4,932","4,948"
".Sebastian County, Arkansas","56,478","57,407"
".Sevier County, Arkansas","6,960","6,999"
".Sharp County, Arkansas","9,867","9,900"
".Stone County, Arkansas","6,883","6,962"
".Union County, Arkansas","19,957","20,134"
".Van Buren County, Arkansas","10,464","10,521"
".Washington County, Arkansas","92,228","96,310"
".White County, Arkansas","33,653","34,035"
".Woodruff County, Arkansas","3,888","3,880"
".Yell County, Arkansas","9,836","9,883"
".Alameda County, California","600,467","622,922"
".Alpine County, California","1,769","1,782"
".Amador County, California","18,274","18,625"
".Butte County, California","98,692","86,209"
".Calaveras County, California","27,731","28,181"
".Colusa County, California","8,022","8,125"
".Contra Costa County, California","411,110","418,707"
".Del Norte County, California","11,362","11,434"
".El Dorado County, California","89,573","91,660"
".Fresno County, California","328,158","336,473"
".Glenn County, California","10,967","11,098"
".Humboldt County, California","62,792","63,727"
".Imperial County, California","57,484","58,280"
".Inyo County, California","9,541","9,609"
".Kern County, California","295,641","302,898"
".Kings County, California","45,808","46,965"
".Lake County, California","34,543","34,572"
".Lassen County, California","12,751","12,784"
".Los Angeles County, California","3,525,319","3,579,329"
".Madera County, California","50,272","51,438"
".Marin County, California","113,028","113,344"
".Mariposa County, California","10,401","10,445"
".Mendocino County, California","40,919","41,027"
".Merced County, California","84,540","86,388"
".Modoc County, California","5,253","5,276"
".Mono County, California","14,071","14,208"
".Monterey County, California","141,033","143,201"
".Napa County, California","55,613","55,647"
".Nevada County, California","53,609","54,809"
".Orange County, California","1,090,560","1,118,110"
".Placer County, California","161,500","168,919"
".Plumas County, California","15,767","15,916"
".Riverside County, California","832,169","857,148"
".Sacramento County, California","566,342","578,937"
".San Benito County, California","18,422","19,979"
".San Bernardino County, California","715,166","731,400"
".San Diego County, California","1,203,503","1,233,777"
".San Francisco County, California","393,507","406,413"
".San Joaquin County, California","240,826","248,636"
".San Luis Obispo County, California","121,031","123,963"
".San Mateo County, California","276,278","280,450"
".Santa Barbara County, California","156,150","159,246"
".Santa Clara County, California","665,631","686,266"
".Santa Cruz County, California","105,831","107,149"
".Shasta County, California","78,469","78,618"
".Sierra County, California","2,347","2,368"
".Siskiyou County, California","24,061","24,226"
".Solano County, California","156,966","159,806"
".Sonoma County, California","208,324","208,305"
".Stanislaus County, California","181,055","182,978"
".Sutter County, California","34,337","34,583"
".Tehama County, California","27,427","27,840"
".Trinity County, California","8,854","9,013"
".Tulare County, California","147,688","151,603"
".Tuolumne County, California","31,478","31,700"
".Ventura County, California","287,180","291,512"
".Yolo County, California","77,251","79,263"
".Yuba County, California","28,401","29,049"
".Adams County, Colorado","170,336","178,519"
".Alamosa County, Colorado","6,937","7,160"
".Arapahoe County, Colorado","247,426","257,325"
".Archuleta County, Colorado","9,212","9,685"
".Baca County, Colorado","2,255","2,259"
".Bent County, Colorado","2,265","2,277"
".Boulder County, Colorado","134,051","140,551"
".Broomfield County, Colorado","27,741","29,675"
".Chaffee County, Colorado","10,788","11,498"
".Cheyenne County, Colorado",997,"1,010"
".Clear Creek County, Colorado","5,772","5,847"
".Conejos County, Colorado","4,403","4,483"
".Costilla County, Colorado","2,826","2,880"
".Crowley County, Colorado","1,588","1,601"
".Custer County, Colorado","4,290","4,495"
".Delta County, Colorado","14,767","14,912"
".Denver County, Colorado","313,589","338,341"
".Dolores County, Colorado","1,682","1,738"
".Douglas County, Colorado","120,963","132,251"
".Eagle County, Colorado","32,061","33,174"
".Elbert County, Colorado","9,504","9,991"
".El Paso County, Colorado","268,387","280,718"
".Fremont County, Colorado","19,702","20,088"
".Garfield County, Colorado","23,808","24,363"
".Gilpin County, Colorado","3,642","3,765"
".Grand County, Colorado","16,597","17,146"
".Gunnison County, Colorado","11,823","12,228"
".Hinsdale County, Colorado","1,414","1,438"
".Huerfano County, Colorado","5,225","5,333"
".Jackson County, Colorado","1,316","1,338"
".Jefferson County, Colorado","238,638","245,087"
".Kiowa County, Colorado",824,826
".Kit Carson County, Colorado","3,564","3,577"
